ユーザー名,表示名,業種,備考
"nidom_classic_course","ニドムクラシックコース","サウナ・温浴施設","HP: https://www.nidomcc.jp/"
"utanoborigreenparkhotel","うたのぼりグリーンパークホテル","サウナ・温浴施設","HP: http://greenpark.esashi.biz/"
"bourounoboribetsu","望楼 NOGUCHI 登別","サウナ・温浴施設","HP: http://www.bourou.com/"
"pekolela_yakumo","ペコレラ学舎","サウナ・温浴施設","HP: https://bio.site/pekolela"
"kiniseko","木ニセコ","サウナ・温浴施設","HP: http://www.kiniseko.com/"
"hotel_jalcity_sapporo","ホテルJALシティ札幌 中島公園","サウナ・温浴施設","HP: https://www.sapporo-nakajimapark.hoteljalcity.com/"
"bourounoguchihakodate","望楼NOGUCHI函館","サウナ・温浴施設","HP: http://www.bourou-hakodate.com/"
"route_inn_hotels","ホテルルートインGrand室蘭","サウナ・温浴施設","HP: https://www.route-inn.co.jp/search/hotel/index_hotel_id_666"
"hayakita_cc","早来カントリー倶楽部","サウナ・温浴施設","HP: http://hayakitacc.com/"
"otaru_granbellhotel","小樽グランベルホテル","サウナ・温浴施設","HP: https://www.granbellhotel.jp/otaru/"
"tsuruga_akan","あかん湖 鶴雅ウイングス","サウナ・温浴施設","HP: https://www.tsurugawings.com/"
"omo_hotels","OMO5小樽 by 星野リゾート","サウナ・温浴施設","HP: https://hoshinoresorts.com/ja/hotels/omo5otaru/"
"mombetsu_prince_hotel","紋別プリンスホテル","サウナ・温浴施設","HP: http://www.mombetsu-prince.com/"
"premierhotel_tsubaki_sapporo","プレミアホテル-TSUBAKI-札幌","サウナ・温浴施設","HP: https://premier.kenhotels.com/sapporo/"
"skyeniseko","Skye Niseko","サウナ・温浴施設","HP: https://www.skyeniseko.com/ja/"
"tokachigawaonsen_kankou","帯広リゾートホテル","サウナ・温浴施設","HP: http://www.tokachigawa.net/spa/stay/obihiro_resort.html"
"nikkostyle_niseko_hanazono","ニッコースタイルニセコ HANAZONO","サウナ・温浴施設","HP: https://nisekohanazono.nikkostyle.jp/"
"shogetsugrand","章月グランドホテル","サウナ・温浴施設","HP: http://www.shogetsugrand.com/"
"feeld_good_fes","FEELD GOOD FES(LOVE SAUNA FES)","サウナ・温浴施設","HP: https://www.feeld-good.jp/"
"savebleu","森のテントサウナ「SNOWY」in ニセコ","サウナ・温浴施設","HP: https://savebleu.amebaownd.com/"
"hotelcielo12","ホテル シエロ","サウナ・温浴施設","HP: https://www.hotenavi.com/hotelcielo/"
"shinnihonkai_ferry","らべんだあ(新日本海フェリー)","サウナ・温浴施設","HP: https://www.snf.jp/ship/ship_lavender/facilities/#daiyokuzyo"
"shiraoi.furukawa","海の別邸 ふる川","サウナ・温浴施設","HP: http://www.kokorono-resort.com/"
"route_inn_hotels","ホテルルートインGrand北見駅前","サウナ・温浴施設","HP: https://www.route-inn.co.jp/hotel_list/hokkaido/index_hotel_id_644/"
"metou_onsen","芽登温泉ホテル","サウナ・温浴施設","HP: http://metouonsen.jp/"
"kussharo_ph","屈斜路プリンスホテル","サウナ・温浴施設","HP: http://www.princehotels.co.jp/kussharo/"
"blue_hotel_group","ブルーホテル シュープリーム","サウナ・温浴施設","HP: https://www.blue-hotel.com/sjuprim/"
"epuy_onuma","函館大沼鶴雅リゾートエプイ","サウナ・温浴施設","HP: http://www.onuma-epuy.com/"
"saromako_yurinkan","サロマ湖 悠林館","サウナ・温浴施設","HP: https://e-mlink.co.jp/yurinkan/?fbclid=PAZXh0bgNhZW0CMTEAAac99WVE20g58aUAAUixZFBjc0stS75IlSGUSycw3TQnBHPedhPvrdiuM67a3w_aem_Imwjaxeq6qBm3Z0ZJvYBFQ"
"rembrandt_premium","レンブラントリゾート知床","サウナ・温浴施設","HP: https://rembrandt-resort.com/shiretoko/"
"sapporo_excelhotel_tokyu","札幌エクセルホテル東急","サウナ・温浴施設","HP: https://www.tokyuhotels.co.jp/sapporo-e/index.html"
"anacrowneplaza_kushiro","サウナーズ サウナ(ANAクラウンプラザホテル釧路)","サウナ・温浴施設","HP: https://www.anacpkushiro.com/"
"novel_bluemountain","BLUE MOUNTAIN","サウナ・温浴施設","HP: http://sapporo-bluemountain.com/"
"restayhotels","レステイSakuRa","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/312"
"shinnihonkai_ferry","ゆうかり(新日本海フェリー)","サウナ・温浴施設","HP: https://www.snf.jp/ship/ship_lilac/facilities/#daiyokuzyo"
"hotelareaone.chitose","ホテルエリアワン千歳","サウナ・温浴施設","HP: https://www.hotel-areaone.com/chitose/"
"chaletivy","シャレーアイビー 定山渓","サウナ・温浴施設","HP: https://www.chaletivy.com/"
"longliferesort","ヒルズテラス函館","サウナ・温浴施設","HP: https://www.longlife-resort.jp/resort/hakodate/"
"rima__group","ホテルリマスタイルリュクス","サウナ・温浴施設","HP: http://hotel-rima.com/"
"niseko.gurugulu","off-grid guest house GURUGULU","サウナ・温浴施設","HP: https://gurugulu.com/"
"honospo","ほのかスポーツクラブ","サウナ・温浴施設","HP: https://www.honospo.jp/"
"tabist_official","Tabist北見アスリートステイズ","サウナ・温浴施設","HP: https://tabist.co.jp/h/N01HKAS/?utm_source=GMB_JP&amp;utm_medium=organic&amp;utm_campaign=N01HKAS"
"zuien.cc.eniwa","隨縁カントリークラブ恵庭コース","サウナ・温浴施設","HP: http://zuien.net/eniwa"
"info_brooks","北海道ブルックスカントリークラブ","サウナ・温浴施設","HP: http://www.brooks-c.com/"
"aomori.centerhotel","まちなか温泉青森センターホテル","サウナ・温浴施設","HP: https://aomori.atinnhotels.com/onsen.html"
"hoshinoresorts_aomoriya","青森ねぶたサウナ(青森屋 by 星野リゾート)","サウナ・温浴施設","HP: https://hoshinoresorts.com/ja/hotels/aomoriya/"
"karankorononsen","からんころん温泉","サウナ・温浴施設","HP: https://karankoron.denen.biz/"
"dormyinn.official","天然温泉 淡雪の湯 ドーミーイン青森","サウナ・温浴施設","HP: https://dormy-hotels.com/dormyinn/hotels/aomori/"
"iwakisou","アソベの森 いわき荘","サウナ・温浴施設","HP: http://www.iwakisou.or.jp/"
"sauna_ikitai","境関温泉","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/5531"
"sauna_ikitai","スーパー銭湯極楽湯八戸店","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/421"
"dormyinn.official","岩木桜の湯 ドーミーイン弘前","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/hirosaki/"
"seseragi_onsen","せせらぎ温泉","サウナ・温浴施設","HP: https://seseragionsen.hotstyle.jp/"
"shimofuroonsenshokudo","下風呂温泉 海峡の湯","サウナ・温浴施設","HP: https://www.yukaimura.com/kaikyonoyu.html"
"sunpiahachinohe","グランドサンピア八戸 さわ里の湯","サウナ・温浴施設","HP: http://www.sunpiahachinohe.jp/"
"thisismisawa","平畑温泉","サウナ・温浴施設","HP: http://kite-misawa.com/misawa/hirahata-onsen/"
"roccapocca.1126","スパハウスろっかぽっか","サウナ・温浴施設","HP: http://www.roccapocca.com/"
"yasuragi_onsen","やすらぎ温泉","サウナ・温浴施設","HP: https://yasuragionsen.hotstyle.jp/"
"rio_hotels","ホテルグローバルビュー 八戸","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/hachinohe/"
"ponyonsen","ホテルポニー温泉","サウナ・温浴施設","HP: http://www.pony-onsen.co.jp/"
"grandmer_ajigasawa","ホテルグランメール山海荘","サウナ・温浴施設","HP: http://www.hotel-grandmer.com/"
"hanasaki_onsen","花咲温泉","サウナ・温浴施設","HP: https://www.hanasaki-onsen.com/"
"shirakami853011","ブナの里 白神館","サウナ・温浴施設","HP: https://www.shirakamikan.com/"
"badepark2021","バーデハウスふくち","サウナ・温浴施設","HP: http://www.badepark.com/bade/bade/information.html"
"kamenoihotel_aomorimakado","亀の井ホテル 青森まかど(旧:まかど観光ホテル)","サウナ・温浴施設","HP: https://kamenoi-hotels.com/aomorimakado/"
"route_inn_hotels","ホテルルートインGrand三沢","サウナ・温浴施設","HP: http://www.route-inn.co.jp/"
"lodge_cowbell","ロッジカウベル","サウナ・温浴施設","HP: https://lodgecowbell.com/"
"kosenjyo","古戦場","サウナ・温浴施設","HP: http://kosenjyo.com/"
"yukkomorioka","SPA銭湯ゆっこ盛岡","サウナ・温浴施設","HP: https://yukko-morioka.jp"
"hizumeyu","ひづめゆ","サウナ・温浴施設","HP: https://hizumeyu.jp/"
"hotel.mazarium","KANAN SPA(HOTEL MAZARIUM)","サウナ・温浴施設","HP: https://hotelmazarium.com/"
"kimorinoyu","喜盛の湯","サウナ・温浴施設","HP: http://www.kimorinoyu.com/"
"yamazakura_momonoyu","一関温泉 山桜桃の湯","サウナ・温浴施設","HP: https://www.momonoyu.co.jp/guide#ttl-navi01"
"mast_no_yu","三陸四季湯彩ますと乃湯","サウナ・温浴施設","HP: https://www.mast-no-yu.com/"
"dormyinn.official","天然温泉 さんさの湯 ドーミーイン盛岡","サウナ・温浴施設","HP: https://dormy-hotels.com/dormyinn/hotels/morioka/"
"shidotaira","湯の杜 ホテル志戸平","サウナ・温浴施設","HP: http://www.shidotaira.co.jp/"
"yamanokamionsen_yuukaen","山の神温泉 なごみの湯","サウナ・温浴施設","HP: http://www.yuukaen.jp/"
"the_campus3555","the campus～トロイカの森～","サウナ・温浴施設","HP: https://www.the-campus.info/"
"appi_resort","安比温泉 白樺の湯","サウナ・温浴施設","HP: https://www.appi.co.jp/heal/heal-top/"
"kadarterrace_kindaichi","カダルテラス金田一","サウナ・温浴施設","HP: https://kadarterrace.net/"
"yamaneonsen_official","新山根温泉 べっぴんの湯","サウナ・温浴施設","HP: https://www.yamane-onsen.com/news/"
"uminekoyulax","うみねこ温泉 湯らっくす","サウナ・温浴施設","HP: https://uminekoonsen.com/onsen.html"
"foxbaden41_2","フォックスバーデンスパドーム","サウナ・温浴施設","HP: http://foxbaden.com/"
"hanamaki_onsen","花巻温泉 ホテル紅葉館","サウナ・温浴施設","HP: https://www.hanamakionsen.co.jp/"
"yamanokamionsen_yuukaen","山の神温泉 優香苑 こもれび乃湯","サウナ・温浴施設","HP: http://www.yuukaen.jp/"
"hanamaki_onsen","花巻温泉 ホテル千秋閣","サウナ・温浴施設","HP: https://www.hanamakionsen.co.jp/"
"ikoinomura_iwate","岩手山焼走り温泉 いこいの村 岩手","サウナ・温浴施設","HP: http://www.ikoi-iwate.co.jp/"
"kurahotel","蔵ホテル一関","サウナ・温浴施設","HP: http://kurahotel.com/"
"hanamaki_onsen","花巻温泉 ホテル花巻","サウナ・温浴施設","HP: https://www.hanamakionsen.co.jp/hanamaki/"
"himekayu492006","焼石クアパーク ひめかゆ","サウナ・温浴施設","HP: https://himekayu.jp/"
"okunakayama_kogen","奥中山高原温泉 煌星の湯","サウナ・温浴施設","HP: https://www.okunakayamakogen.jp/"
"airinkan.hanamaki","結びの宿 愛隣館","サウナ・温浴施設","HP: http://www.airinkan.com/"
"komakonoyu","金ケ崎温泉駒子の湯","サウナ・温浴施設","HP: http://kanegasaki.oshushi.com/"
"orahonoonsen","おらほの温泉","サウナ・温浴施設","HP: https://www.orahono-onsen.net/"
"sukawakougenonsen1126","須川高原温泉","サウナ・温浴施設","HP: http://www.sukawaonsen.jp/"
"13gatsu_front","藤三旅館・別邸 鉛温泉 心の刻 十三月","サウナ・温浴施設","HP: https://13gatsu-ryokan.com/"
"8mantai_heights","八幡平ハイツ","サウナ・温浴施設","HP: https://8mantai.jp/onsen/"
"rio_hotels","ホテルグランシェール花巻","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/hanamaki/"
"hanamakionsen_kashoen","花巻温泉 佳松園","サウナ・温浴施設","HP: https://www.hanamakionsen.co.jp/kashoen/"
"okunakayama_kogen","奥中山高原温泉  朝朱の湯","サウナ・温浴施設","HP: https://www.okunakayamakogen.jp/"
"fg_morinokaze.osyuku","ホテル森の風鶯宿","サウナ・温浴施設","HP: https://www.morinokaze.com/"
"aishinkan","盛岡・つなぎ温泉 愛真館","サウナ・温浴施設","HP: http://www.aishinkan.co.jp/"
"restayhotels","レステイアイネイン盛岡","サウナ・温浴施設","HP: http://www.restayhotels.com/detail/210"
"appikogen_morinohotel","安比高原 森のホテル","サウナ・温浴施設","HP: https://www.ap-morinohotel.com/"
"best_delight","ホテル ロータス ヴィレッジガーデン 盛岡","サウナ・温浴施設","HP: https://morioka-lotus.com/"
"onsenyasumori","安比豊畑温泉 フロンティアの湯","サウナ・温浴施設","HP: https://iwatetabi.jp/hotel/detail.spn.php?hotel_id=960"
"intercontinental","ANAインターコンチネンタル安比高原リゾート","サウナ・温浴施設","HP: https://www.ihg.com/intercontinental/hotels/jp/ja/hachimantai/axtap/hoteldetail#scmisc=nav_hoteldetail_ic"
"shizukuishi_rh","雫石リゾートホテル","サウナ・温浴施設","HP: https://sr.startours.jp/"
"spa_metsasendai","スパメッツァ 仙台 竜泉寺の湯","サウナ・温浴施設","HP: https://ryusenjinoyu.com/spametsasendai/"
"cure_kokubuncho","サウナ&カプセル キュア国分町","サウナ・温浴施設","HP: https://cure-kokubuncho.jp"
"soyoginomori","愛子天空の湯 そよぎの杜","サウナ・温浴施設","HP: https://www.soyoginomori.site/"
"aquaignis.sendai","アクアイグニス仙台 藤塚の湯","サウナ・温浴施設","HP: https://aquaignis-sendai.jp/"
"ytpsendaiminami","ゆ〜とぴあ仙台南","サウナ・温浴施設","HP: https://ytp-sendaiminami.jp/"
"juuri_sauna","JUURI SAUNA(ユーリサウナ)","サウナ・温浴施設","HP: https://juurisauna.com/"
"jyoubon_no_sato","道の駅 上品の郷 (ふたごの湯)","サウナ・温浴施設","HP: http://www.joubon.com/home/"
"hotelzuiho","仙台秋保温泉 ホテル瑞鳳","サウナ・温浴施設","HP: http://zuiho.jp/"
"dormyinn.official","天然温泉 杜都の湯 御宿 野乃仙台","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/nono_sendai/"
"dormyinn.official","青葉の湯 ドーミーイン仙台ANNEX","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/sendai_ax/"
