ユーザー名,表示名,業種,備考
"yudocoro_minori","湯どころ みのり","サウナ・温浴施設","HP: http://www.yudocoro-minori.com/"
"itadorisauna","ITADORI SAUNA","サウナ・温浴施設","HP: https://itadori-sauna.com/"
"kanzaki_sanga_sauna","Kanzaki Sanga Sauna","サウナ・温浴施設","HP: https://sangasauna.com/"
"MITSUMINE_ONSEN","天然温泉 三峰","サウナ・温浴施設","HP: http://www.mitsumine-onsen.com/"
"yusen_no_sato","養老温泉 ゆせんの里","サウナ・温浴施設","HP: https://yusennosato.com/"
"yunoshiro_ogaki","大垣天然温泉 湯の城","サウナ・温浴施設","HP: http://www.p-castle.co.jp/yunoshiroogaki/"
"yunohana1187_official","湯の華アイランド","サウナ・温浴施設","HP: http://www.spa-yunohana.com/"
"hirayunomori.official","ひらゆの森","サウナ・温浴施設","HP: http://www.hirayunomori.co.jp/"
"ginan_onsen","ぎなん温泉","サウナ・温浴施設","HP: https://www.ginanonsen.jp/"
"kamaba_onsen","とき温泉 KAMABA","サウナ・温浴施設","HP: https://www.kamaba-onsen.jp/"
"kamihonoyu_bijinnoyushirotori","美人の湯 しろとり かみほの湯","サウナ・温浴施設","HP: https://kamihonoyu.jp/onsen.html"
"iroha_gifu","いろは JR岐阜駅前","サウナ・温浴施設","HP: https://iroha-gifu.net/"
"bizin_yu_kakamigahara","美人の湯 かかみがはら","サウナ・温浴施設","HP: http://www.bizin-yu.co.jp/"
"saunahotelgifu","SAUNA HOTEL GIFU(サウナホテル岐阜)","サウナ・温浴施設","HP: https://saunahotelgifu.com/"
"nukuinoyu_onsen","ぬくい温泉","サウナ・温浴施設","HP: https://www.nukuinoyu.jp/"
"dormyinn.official","天然温泉 金華の湯 ドーミーイン岐阜駅前","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/gifu/"
"tsuzuya.village","つづやビレッジ","サウナ・温浴施設","HP: https://tsuzuya-village.com/"
"sasayurinoyu","くしはら温泉 ささゆりの湯","サウナ・温浴施設","HP: https://sasayurinoyu.jp/"
"magonoyu","倉知温泉 マーゴの湯","サウナ・温浴施設","HP: https://www.magonoyu.com/"
"mikinosato_official","美輝の里 スパー美輝","サウナ・温浴施設","HP: https://www.mikinosato.co.jp/spa"
"junecoffee_takayama","FAV LUX 飛騨高山","サウナ・温浴施設","HP: https://www.fav-lux.com/hotel/hidatakayama/"
"satoyama_sauna","里山のサウナ","サウナ・温浴施設","HP: https://satoyama37.jp/"
"outdoor_style_amida","Outdoor style AMIDA 阿弥陀乃湯","サウナ・温浴施設","HP: http://www.outdoor-style-amida.com/"
"enkunoyu","子宝温泉 円空の湯","サウナ・温浴施設","HP: https://enkuuu.com/"
"ikedaonsen_gifu","池田温泉 新館","サウナ・温浴施設","HP: http://ikedaonsen.jp/"
"kur_resort_yubunesawa","中津川温泉 クアリゾート湯舟沢","サウナ・温浴施設","HP: http://www.nakatsugawaonsen.com/"
"bokkanosato","牧歌の里温泉 牧華","サウナ・温浴施設","HP: https://www.bokka.co.jp/spa.php"
"ikedaonsen_gifu","池田温泉本館","サウナ・温浴施設","HP: http://ikedaonsen.jp/"
"suimeikan","水明館","サウナ・温浴施設","HP: http://www.suimeikan.co.jp/"
"forestdome_tsukechikyo_loghome","FOREST DOME 付知峡","サウナ・温浴施設","HP: https://forestdome-tsukechi.com/"
"miyako_gifunagaragawa_official","都ホテル 岐阜長良川","サウナ・温浴施設","HP: http://www.miyakohotels.ne.jp/gifu/index.html/"
"dormyinn.official","飛騨花里の湯 高山桜庵","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/takayama/"
"yosohachi48","宇津江四十八滝温泉しぶきの湯 遊湯館","サウナ・温浴施設","HP: http://www.48taki.com/"
"nagareha_newflow","流葉温泉 ニュートリノ","サウナ・温浴施設","HP: https://hida-nagareha.com/spa/"
"gifugrandhotel","岐阜グランドホテル","サウナ・温浴施設","HP: https://www.gifugrandhotel.co.jp/"
"shimizunoyu","飛騨川温泉しみずの湯","サウナ・温浴施設","HP: http://www.shimizunoyu.com/"
"nagaragawa_seiryu_hotel","長良川清流ホテル(旧・ホテル長良川の郷)","サウナ・温浴施設","HP: https://nagaragawahotel.com/"
"river_house_osaka","小坂なリバーベース(Osakana River Base)","サウナ・温浴施設","HP: http://osakanariverbase.com/"
"dormyinn.official","白川郷 御宿 結の庄","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/shirakawago/"
"hotel_kusakabe_armeria","下呂温泉 ホテル くさかべアルメリア","サウナ・温浴施設","HP: http://www.armeria.co.jp/"
"apahotel_official","アパホテル 大垣駅前","サウナ・温浴施設","HP: http://www.apahotel.com/hotel/toukai/03_ogaki-ekimae/"
"associatakayama","ホテルアソシア高山リゾート","サウナ・温浴施設","HP: https://www.associa.com/tky/"
"best_delight","ホテル アルティアダイナソー岐阜店","サウナ・温浴施設","HP: https://artia-dinosaur.com/"
"washigatake5105","鷲ヶ岳スキー場 鷲の湯","サウナ・温浴施設","HP: http://ski.washigatake.jp/facilities/index.html"
"okuhidagram","中崎山荘 奥飛騨の湯","サウナ・温浴施設","HP: https://www.okuhida.or.jp/archives/3311"
"wat_hotel_spa","ワットホテル&スパ 飛騨高山","サウナ・温浴施設","HP: http://wathotel.com/"
"fine.gifu","ファインガーデン岐阜","サウナ・温浴施設","HP: http://www.hotel-fine.co.jp/hotel/g-gifu/"
"hidahotelplaza","飛騨高山温泉  ひだホテルプラザ","サウナ・温浴施設","HP: http://www.hida-hotelplaza.co.jp/"
"gero_onsen_sasara","下呂温泉 紗々羅","サウナ・温浴施設","HP: http://www.sasara.co.jp/"
"accordia_golf","小萱チェリークリークカントリークラブ","サウナ・温浴施設","HP: https://reserve.accordiagolf.com/golfCourse/gifu/kogaya/"
"hidatei_hanaougi","飛騨亭 花扇","サウナ・温浴施設","HP: http://www.hanaougi.co.jp/"
"sauna_takanoyu","富士山天然水SPA サウナ鷹の湯","サウナ・温浴施設","HP: https://yuya-p.jp/"
"kenko.land","駿河健康ランド","サウナ・温浴施設","HP: https://www.kur-hotel.co.jp/suruga/"
"saunaclub37","サウナ倶楽部 Thermal Climb Studio FUJI","サウナ・温浴施設","HP: https://www.sauna-club.jp/"
"oceanspafuua_official","オーシャンスパ Fuua","サウナ・温浴施設","HP: https://www.atamibayresort.com/fuua/"
"mochimune_port_spa","用宗みなと温泉","サウナ・温浴施設","HP: https://minato-onsen.jp"
"sauna.kou_1111","SAUNA煌ｰKOUｰ","サウナ・温浴施設","HP: https://sauna-kou.com/"
"joyland_zabun","天然温泉ざぶ～ん","サウナ・温浴施設","HP: https://www.joyland.jp/contents/spa/"
"izumi_sauna","泉サウナ","サウナ・温浴施設","HP: https://coubic.com/izumi_sauna"
"yufukei_shiori","湯風景しおり","サウナ・温浴施設","HP: http://www.yufukeishiori.com/"
"tokinosumika_gotemba","御殿場高原 天然温泉 茶目湯殿","サウナ・温浴施設","HP: http://www.tokinosumika.com/sp/spa/chame/"
"oyugiwa_hamamatsuichino","OYUGIWA浜松市野","サウナ・温浴施設","HP: https://www.fantasy.co.jp/oyugiwa/hamamatsu/"
"yuraginosato","湯らぎの里","サウナ・温浴施設","HP: http://www.yuraginosato.com/"
"yugo0600","ゆうだい温泉","サウナ・温浴施設","HP: https://yugo.co.jp/"
"ofurocafe.bijinyu","おふろcafe bijinyu | 美肌湯","サウナ・温浴施設","HP: https://ofurocafe-bijinyu.com/"
"umegashima_drive_in","UMEGASHIMA DRIVE-IN & SAUNA VILLA","サウナ・温浴施設","HP: https://umegashima-drivein.jp/"
"manyonumazu","沼津・湯河原温泉 万葉の湯","サウナ・温浴施設","HP: http://www.manyo.co.jp/numazu/"
"dormyinn.official","天然温泉 富士桜の湯 ドーミーインEXPRESS富士山御殿場","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/gotemba/"
"tokisumi.hananoyu","富嶽温泉 花の湯","サウナ・温浴施設","HP: http://www.tokinosumika.com/hananoyu/"
"garage_secret_base","CAMPAGE Private Sauna","サウナ・温浴施設","HP: https://www.garage-secret-base.com/"
"sun.street.hamakita.official","SOLA SPA 浜北温泉","サウナ・温浴施設","HP: https://www.sunstreet-hamakita.com/spa/"
"tokinosumika_gotemba","天然温泉 気楽坊 (御殿場時之栖内)","サウナ・温浴施設","HP: http://www.tokinosumika.com/sp/spa/kirakubo/"
"greenityiwata","GREENITY IWATA","サウナ・温浴施設","HP: https://greenity.jp"
"sauna_ishidatamichaya","サウナ石畳-TripTrain(トリップトレイン)-","サウナ・温浴施設","HP: https://ishidatami-chaya.jp/sauna/"
"sumaru_sauna","SUMARU SAUNA","サウナ・温浴施設","HP: https://sumaru-sauna.jp/"
"kusanaginoyu26","あおい温泉 草薙の湯","サウナ・温浴施設","HP: http://www.kusanagino-yu.com/"
"fujinos_hotel_sauna","HOTEL & SAUNA FUJINOS","サウナ・温浴施設","HP: https://fujino-s.com/"
"rembrandt.gotembakomakado","レンブラントスタイル御殿場駒門  富士の心湯","サウナ・温浴施設","HP: https://rembrandt-style.com/gotemba-komakado"
"yawaraginoyu","袋井温泉 和の湯(やわらぎのゆ)","サウナ・温浴施設","HP: http://www.yawaraginoyu.co.jp/"
"trialpark_0702","トライアルパーク蒲原","サウナ・温浴施設","HP: https://trialpark-kambara.jp/"
"aratamanoyu","あらたまの湯","サウナ・温浴施設","HP: http://www.aratamanoyu.jp/"
"kunouzan","リバティーリゾート久能山","サウナ・温浴施設","HP: https://kunozan.jp/"
"seasidespa_ito_marinetown","伊東マリンタウンシーサイドスパ","サウナ・温浴施設","HP: http://ito-marinetown.co.jp/seasidespa"
"amagisou","大滝温泉 天城荘","サウナ・温浴施設","HP: https://www.amagisou.jp/"
"dormyinn.official","富嶽の湯 ドーミーイン三島","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/mishima/"
"izuglampingresortishiki385","伊豆グランピングリゾートIshiki385","サウナ・温浴施設","HP: https://izuglam385.com/"
"itawari_no_yu","田代の郷温泉 伊太和里の湯","サウナ・温浴施設","HP: http://www.itawarinoyu.jp/"
"yu_topiakannnami","湯～トピアかんなみ","サウナ・温浴施設","HP: http://yu-topiakannami.jp/"
"hanasakinoyu","華咲の湯","サウナ・温浴施設","HP: http://hanasakinoyu.jp/"
"atamibayresort","熱海後楽園ホテル","サウナ・温浴施設","HP: http://www.atamikorakuen.co.jp/"
"hotel_newakao_official","スパリウムニシキ (ホテルニューアカオ)","サウナ・温浴施設","HP: https://hotel-new-akao.com/attraction/halfday/"
"yuyu_4126","遊湯の里","サウナ・温浴施設","HP: https://sunfriend1126.wixsite.com/yuyu"
"editxseven_hotels","edit x seven 富士御殿場","サウナ・温浴施設","HP: https://editxseven.com/fujigotemba/"
"marinespa_sti","マリンスパあたみ","サウナ・温浴施設","HP: http://marinespa.com/"
"yunokuni_izu","湯の国会館","サウナ・温浴施設","HP: http://www.yunokuni-izu.com/"
"ishinoya_atami_official","石のや 熱海","サウナ・温浴施設","HP: https://www.ishinoya.jp/atami/"
"yutorelo_atami","ソラトニワ熱海伊豆山(旧ゆとりろ熱海)","サウナ・温浴施設","HP: https://soratoniwa-atami.com/"
"nakaizu.wineryhills","ホテルワイナリーヒル 縄文之御神湯","サウナ・温浴施設","HP: https://www.shidax.co.jp/winery/"
"daitoonsen","リバティーリゾート大東温泉","サウナ・温浴施設","HP: https://daitoonsen.jp/"
"ilazzurri_hotel","il azzurri(イル・アズーリ)","サウナ・温浴施設","HP: https://il-azzurri.com/"
"fujisan.mishima_tokyuhotel","富士山三島東急ホテル","サウナ・温浴施設","HP: https://www.fujisan-mishima-tokyuhotel.com/"
"susono_ichinose","一の瀬","サウナ・温浴施設","HP: http://www.susono-ichinose.com/"
"oigawak","大井川鐵道 川根温泉ホテル","サウナ・温浴施設","HP: https://slonsen.jp/"
"hotel_square_fujigotemba","ホテルスクエア富士御殿場","サウナ・温浴施設","HP: https://hotel-square.net/"
"centralsports_official","古橋廣之進記念浜松市総合水泳場 ToBiO","サウナ・温浴施設","HP: https://hb-wave.co.jp/"
"itoenhotel","熱海ニューフジヤホテル","サウナ・温浴施設","HP: http://www.itoenhotel.com/Default.aspx?TabId=577"
"nakajimayahotels_official","焼津グランドホテル","サウナ・温浴施設","HP: http://www.sn-hotels.com/ygh/"
"candeo_hotels","カンデオホテルズ静岡島田","サウナ・温浴施設","HP: https://www.candeohotels.com/shimada/"
"grandmercure_lakehamana","グランドメルキュール浜名湖リゾート&スパ","サウナ・温浴施設","HP: https://grand-mercure-lakehamana-resortandspa.jp/"
"hoshinoresorts.risonare","星野リゾート リゾナーレ熱海","サウナ・温浴施設","HP: http://risonare.com/atami/"
"laforet_hotelsandresorts","ホテルラフォーレ修善寺 センターハウス 森の湯","サウナ・温浴施設","HP: http://www.laforet.co.jp/shuzenji/"
"newginsuista_izu","堂ヶ島ニュー銀水","サウナ・温浴施設","HP: http://www.dougashima-newginsui.jp/"
"tokinosumika_gotemba","御殿場高原 時之栖","サウナ・温浴施設","HP: http://www.tokinosumika.com/access/"
"inatoritokai_yuen","稲取東海ホテル湯苑","サウナ・温浴施設","HP: http://tokai-h.co.jp/"
"tokinosumika_gotemba","もりのいずみ (時之栖 もりのくに)","サウナ・温浴施設","HP: http://www.tokinosumika.com/morinokuni/morinoizumi/index.html"
"HotelVillaFontaine_Village","ヴィラージュ伊豆高原","サウナ・温浴施設","HP: https://vl-izu.hvf.jp/"
"atami_sekaie","ATAMI せかいえ","サウナ・温浴施設","HP: http://bit.ly/2ZISCQF"
"fufu_atami","ふふ熱海","サウナ・温浴施設","HP: https://www.atamifufu.jp/"
"kuretake.shizuoka","くれたけインプレミアム静岡駅前","サウナ・温浴施設","HP: http://www.kuretake-inn.com/szok/"
"6curry","6curry&sauna 三島店","サウナ・温浴施設","HP: https://6curry.com/"
"orix_hotels_and_resorts","熱海・伊豆山 佳ら久","サウナ・温浴施設","HP: https://www.orixhotelsandresorts.com/concept/izusan-karaku/"
"atami_pearlstar_hotel","熱海パールスターホテル","サウナ・温浴施設","HP: https://pearlstar.jp/"
"syofukaku","焼津温泉 ホテルアンビア松風閣","サウナ・温浴施設","HP: http://www.syofukaku.com/"
"dormyinn.official","ラビスタ伊豆山","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/izusan/"
"inatorisou","稲取温泉 海一望絶景の宿いなとり荘","サウナ・温浴施設","HP: https://www.inatoriso.com/"
"sunvalley_izu","ホテルサンバレー 富士見","サウナ・温浴施設","HP: http://www.izu3800.jp/hotel/fujimi.html"
"andaresort_official","アンダリゾート伊豆高原","サウナ・温浴施設","HP: http://www.andaresort.jp/index.html?utm_source=Google&amp;utm_medium=maps"
"kokusyuku.okuhamanako","国民宿舎 奥浜名湖","サウナ・温浴施設","HP: https://www.okuhamanako.jp/"
"hotel.katara","伊豆熱川温泉 ホテルカターラ RESORT&SPA","サウナ・温浴施設","HP: https://www.katara.co.jp/"
"hotellistelhamanako","ホテルリステル浜名湖","サウナ・温浴施設","HP: http://www.listel-hamanako.jp/"
"marsgardenwood","マースガーデンウッド御殿場","サウナ・温浴施設","HP: http://www.mars-gw.jp/"
"dormyinn.official","淘心庵 米屋","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/komeya/"
"atamiclub","熱海倶楽部迎賓館","サウナ・温浴施設","HP: http://www.atamigolf.jp/hotel/"
"shirakabe_onsen","白壁","サウナ・温浴施設","HP: http://www.shirakabeso.jp/"
"atagawa_prince_hotel","熱川プリンスホテル","サウナ・温浴施設","HP: https://www.atagawa-prince.co.jp"
"ataminchi.i","Y's Ataminchi","サウナ・温浴施設","HP: https://ataminchi.com/"
"tokinosumika_gotemba","御殿場高原ホテル(柚子の湯)","サウナ・温浴施設","HP: http://tokinosumika.com/stay/gkh/"
"hamanako.p.v","浜名湖パークビレッジ Camp Park","サウナ・温浴施設","HP: https://hamanako-p-v.com/sauna/"
"kiryu_hesta.arimaonsen","ザ グラン リゾート エレガンテ熱海","サウナ・温浴施設","HP: https://okura-club-hotels.com/atami/"
"izushimoda_rakuyuhotel","別邸 洛邑","サウナ・温浴施設","HP: http://www.raku-yu.jp/"
"hamamatsu_sth","浜松ステーションホテル","サウナ・温浴施設","HP: http://www.kuretake-inn.com/hamamatsu-sth/"
"miuraya_ryokan","三浦屋旅館","サウナ・温浴施設","HP: http://www.miuraya-ryokan.com/"
"marukyu_ryokan","〇久旅館","サウナ・温浴施設","HP: http://www.marukyu-ryokan.com/"
"izunagaoka_tenbo","伊豆長岡 ホテル天坊","サウナ・温浴施設","HP: http://www.izu-tenbo.com/"
"izu.keikyuhotel","伊豆長岡温泉京急ホテル","サウナ・温浴施設","HP: http://www.izu-keikyuhotel.com/"
"dormyinn.official","ラビスタ熱海テラス","サウナ・温浴施設","HP: https://dormy-hotels.com/resort/hotels/la_atami/?utm_source=google&amp;utm_medium=gbp&amp;utm_campaign=gbpurl"
"route_inn_hotels","ホテルルートイン島田吉田インター","サウナ・温浴施設","HP: http://www.route-inn.co.jp/search/hotel/index_hotel_id_26"
"isuzu_hotel","川堰苑いすゞホテル","サウナ・温浴施設","HP: http://www.isuzuhotel.co.jp/"
"izuhotel_resort.and.spa","伊豆ホテル リゾート&スパ","サウナ・温浴施設","HP: https://www.izu-hotel.com/"
"saunaeagle2814","サウナイーグル","サウナ・温浴施設","HP: http://www.sauna-eagle.jp/"
"canalresort","キャナルリゾート","サウナ・温浴施設","HP: http://canalresort.jp/"
"wellbe_jp","ウェルビー今池","サウナ・温浴施設","HP: http://www.wellbe.co.jp/imaike/"
"apaiser_imaike","リラクゼーションスパ アペゼ","サウナ・温浴施設","HP: http://www.apz-spa.com/"
"sauna_fuji","サウナ&カプセル フジ","サウナ・温浴施設","HP: http://fto.co.jp/"
"saunapia","サウナピア","サウナ・温浴施設","HP: http://www.sauna-pia.co.jp/"
"sense.sauna","SENSE sauna","サウナ・温浴施設","HP: https://sense-sauna.jp/"
"urbanquar","天然温泉アーバンクア SPA & LIVING","サウナ・温浴施設","HP: http://www.p-castle.co.jp/urban_quar/"
"toukichirou.insta","湯のや天然温泉 湯吉郎","サウナ・温浴施設","HP: http://www.toukichirou.com/"
"yutopiatakara","湯〜とぴあ宝","サウナ・温浴施設","HP: http://yu-t.com/"
"resauna_","IE:SAUNA AICHI","サウナ・温浴施設","HP: https://resauna.jp/aichi"
"oiden.sento1126","豊田挙母温泉 おいでんの湯","サウナ・温浴施設","HP: http://www.oiden.info/"
"zakioka_sauna","ZAKIOKA SAUNA","サウナ・温浴施設","HP: https://zakiokasauna.com/"
"yunoshiro_ozone","大曽根温泉 湯の城","サウナ・温浴施設","HP: http://www.p-castle.co.jp/yunoshiro/"
"okazaki_rakunoyu","おかざき楽の湯","サウナ・温浴施設","HP: http://www.rakunoyu.com/okazaki/"
"hanashobu.spa","名東温泉 花しょうぶ","サウナ・温浴施設","HP: http://www.hanashobu.com/meitou/"
"nishio_onsen_sanoyu","西尾温泉 茶の湯","サウナ・温浴施設","HP: http://sanoyu.jp"
"wellbe_jp","Forest House (ウェルビー栄 女性専用エリア)","サウナ・温浴施設","HP: https://www.wellbe.co.jp/forest-house/"
"yuraku_tsushima","くつろぎ天然温泉 湯楽","サウナ・温浴施設","HP: http://www.tyuraku.com/"
"anshinoyado","安心お宿Woman&Man名古屋栄店","サウナ・温浴施設","HP: https://www.anshin-oyado.jp/nagoya/"
"koronanoyu_anjo","天然温泉コロナの湯 安城店","サウナ・温浴施設","HP: http://www.korona.co.jp/Onsen/anj/index.asp"
"komaki_rakunoyu","こまき楽の湯","サウナ・温浴施設","HP: https://rakunoyu.com/komaki/"
"dormyinn.official","錦鯱の湯 ドーミーインPREMIUM名古屋栄","サウナ・温浴施設","HP: https://dormy-hotels.com/dormyinn/hotels/nagoyasakae/"
"kakitsubata44","天然温泉 かきつばた","サウナ・温浴施設","HP: http://www.kakitsubata-spa.com/"
"nagakuteonsen","長久手温泉 ござらっせ","サウナ・温浴施設","HP: http://www.nagakuteonsen.jp/"
"koronanoyu_nakagawa","天然温泉 中川コロナの湯","サウナ・温浴施設","HP: http://www.korona.co.jp/Onsen/nak/index.asp"
"koronanoyu_toyokawa","コロナの湯 豊川店 (ホテルキャッスルイン豊川)","サウナ・温浴施設","HP: http://www.korona.co.jp/Onsen/tok/index.asp"
"lets_takahama","レッツ高浜","サウナ・温浴施設","HP: http://www.k-sgroup.com/onsen/lets-takahama/"
"supersento1126","アサヒ乃湯","サウナ・温浴施設","HP: https://www.supersento.com/chubu/aichi/asahinoyu.html"
"maruha.spa","まるはごんぎつねの湯","サウナ・温浴施設","HP: https://maruhagongitsunenoyu.com/"
"wooddesignpark.okazaki","ウッドデザインパーク 岡崎","サウナ・温浴施設","HP: https://wood-designpark.jp/okazaki/"
"kidanosato_fukujunoyu","福寿の湯","サウナ・温浴施設","HP: https://fukujunoyu.jp/"
"hotel_lapis","HOTEL LAPIS","サウナ・温浴施設","HP: https://www.hotel-lapis.com/"
"rakudanoyu_inazawa","楽だの湯 稲沢店","サウナ・温浴施設","HP: http://rakudanoyu-inazawa.com/"
"fukunoyu_kasugai","大泉寺温泉 福の湯","サウナ・温浴施設","HP: http://www.fukunoyu.co.jp/"
"genkinosato.official","天然温泉 めぐみの湯","サウナ・温浴施設","HP: http://www.agritown.co.jp/megumi.php"
"toueionsen","とうえい温泉 花まつりの湯","サウナ・温浴施設","HP: http://toueionsen.com/"
"hotelhoqa_hanaironoyu","名古屋HOTEL HOQA 花色の湯","サウナ・温浴施設","HP: https://nagoyahotel-hoqa.jp/"
"aquabali_seapalace","ホテル シーパレスリゾート アクアの湯 BALI","サウナ・温浴施設","HP: http://www.sea-palace.co.jp/facilities/spa/"
"apahotel_official","アパホテル名古屋丸の内駅前(旧アパヴィラホテル)","サウナ・温浴施設","HP: http://www.apahotel.com/hotel/toukai/02v_nagoyamarunouchi-ekimae/index.html"
"whitewave.21","ホワイトウェイブ21","サウナ・温浴施設","HP: https://whitewave21.com/"
"yuyu_ariina","鳳来ゆ～ゆ～ありいな","サウナ・温浴施設","HP: http://www.sanyurin.jp/yuyu/"
"aichi_health_plaza","あいち健康の森プラザホテル もりの湯","サウナ・温浴施設","HP: http://www.aichi-kenko-plaza.com/"
"meizanso","ホテル明山荘","サウナ・温浴施設","HP: http://www.meizanso.com/"
"rio_hotels","プリンセスガーデンホテル","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/sakae/"
"hotelindigoinuyama","ホテルインディゴ犬山有楽苑","サウナ・温浴施設","HP: https://inuyama.hotelindigo.com/"
"tagainomori","互いの森PARK  Sauna Lufta サウナルフタ","サウナ・温浴施設","HP: https://tagainomori.com/facility/sauna-lufuta/"
"maruhashyatyou","まるは食堂旅館 豊浜本店 うめ乃湯","サウナ・温浴施設","HP: http://www.maruha-net.co.jp/"
"suitopia_konan","すいとぴあ江南","サウナ・温浴施設","HP: https://suitopia.jp/"
"thekatohotel","ザ・カトーホテル","サウナ・温浴施設","HP: http://www.kato-hotel.co.jp/"
"hoteltakeshima","ホテル竹島","サウナ・温浴施設","HP: http://www.hotel-takeshima.co.jp/"
"wood_design_park_seto","ウッドデザインパーク瀬戸","サウナ・温浴施設","HP: https://wood-designpark.jp/seto/"
"hotelmikawakaiyoukaku","ホテル三河 海陽閣","サウナ・温浴施設","HP: http://www.kaiyoukaku.com/"
"genjikoh","源氏香","サウナ・温浴施設","HP: https://www.genji-koh.co.jp/"
"hana_nomaru.3555","花乃丸","サウナ・温浴施設","HP: http://www.hananomaru.jp/"
"wanoresorthazu_official","和のリゾートはづ","サウナ・温浴施設","HP: http://www.hazu.co.jp/wahazu/"
"gamagori_classic_hotel","蒲郡クラシックホテル 茶寮 鶯宿亭","サウナ・温浴施設","HP: https://gamagori-classic-hotel.com/"
"mikawa_kaiyutei","みかわ温泉 海遊亭","サウナ・温浴施設","HP: https://mikawaonsen.co.jp/"
"collection_hotel1207","日進ホテル HOTEL COLLECTION","サウナ・温浴施設","HP: https://hotel-collection-nisshin.com/"
"okazakigenkikan","岡崎げんき館","サウナ・温浴施設","HP: http://www.okazakigenkikan.jp/"
"shinmenoyu","神馬の湯","サウナ・温浴施設","HP: https://shinmenoyu.jp/"
"ofurocafe.yumoriza","四日市温泉 おふろcafé 湯守座","サウナ・温浴施設","HP: http://ofurocafe-yumoriza.com/"
"shin_ageki_syokudou","おふろcafé あげき温泉","サウナ・温浴施設","HP: https://inabe-ageki-base.com/"
"jab_hot_spa53","天然温泉ジャブ","サウナ・温浴施設","HP: http://www.jab53.com/"
"mts_gram","伊勢・船江温泉 みたすの湯","サウナ・温浴施設","HP: http://mts-ise.com/yu/"
"vison_com","本草湯 VISON SAUNA","サウナ・温浴施設","HP: https://vison.jp/shop/detail.php?id=133"
"guruspa_","松阪温泉GURUSPA","サウナ・温浴施設","HP: https://guru-spa.jp/"
"hanashobu.suzukaspa","鈴鹿天然温泉花しょうぶ","サウナ・温浴施設","HP: http://www.hanashobu.com/suzuka/"
"nagashimaresort_official","長島温泉 湯あみの島","サウナ・温浴施設","HP: https://www.nagashima-onsen.co.jp/yuami/index.html"
"kumanono_sato","松阪温泉熊野の郷","サウナ・温浴施設","HP: https://www.kumano-no-sato.com/matsusaka/"
"nabetagawa","季の邸 天然温泉鍋田川","サウナ・温浴施設","HP: http://www.nabetagawa.co.jp/"
"ise_pearlpier_hotel","伊勢パールピアホテル","サウナ・温浴施設","HP: https://www.pearlpier.com/"
"dormyinn.official","けやきの湯 ドーミーイン津","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/tsu/"
"cova_iseshima","COVA KAKUDA","サウナ・温浴施設","HP: https://cova-iseshima.jp/"
"shirataki.san","白瀧 森のサウナ-白瀧大明神","サウナ・温浴施設","HP: https://shiratakisan.jp/"
"yunose_sakakibara","榊原温泉 湯の瀬 ラムちゃんパーク","サウナ・温浴施設","HP: https://sakakibaraonsen.com/"
"fecr_official","Free And Easy Sauna","サウナ・温浴施設","HP: https://fecr.jp/plan/barrel_sauna/"
"spa_sarubino","伊賀の国 大山田温泉 さるびの","サウナ・温浴施設","HP: http://www.sarubino.com/"
"heartpia_onsen","ニューハートピア温泉 天然温泉ホテル長島","サウナ・温浴施設","HP: http://www.heartpia-onsen.com/"
"moku_iseshima","MOKU ISESHIMA","サウナ・温浴施設","HP: https://moku-iseshima.com/"
"rio_hotels","ホテル津センターパレス","サウナ・温浴施設","HP: https://www.rio-hotels.co.jp/tcp/"
"yabutcha_onsen_camp","島ヶ原温泉やぶっちゃ","サウナ・温浴施設","HP: http://www.yabutcha.com/"
"kibo_soh","湯の山温泉 希望荘","サウナ・温浴施設","HP: http://www.kibousoh.or.jp/"
"dormyinn.official","いにしえの宿 伊久(いきゅう)","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/ikyu/"
"aman","AMANEMU","サウナ・温浴施設","HP: https://www.aman.com/resorts/amanemu"
"grandmercure_iseshima","グランドメルキュール伊勢志摩リゾート&スパ","サウナ・温浴施設","HP: https://grand-mercure-iseshima-resortandspa.jp/"
"tobaseaside","湯めぐり海百景 鳥羽シーサイドホテル","サウナ・温浴施設","HP: http://www.tobaseasidehotel.co.jp/"
"misugi_resort","火の谷温泉 美杉リゾート","サウナ・温浴施設","HP: http://www.misugi.com/"
"shiojitei","鳥羽国際ホテル 潮路亭","サウナ・温浴施設","HP: http://www.shiojitei.jp/"
"uminochou","旅荘 海の蝶","サウナ・温浴施設","HP: https://www.uminochou.com/"
"todaya_toba","戸田家","サウナ・温浴施設","HP: http://www.todaya.co.jp/"
"happucamp","八風キャンプ場","サウナ・温浴施設","HP: http://happu-camp.com/index.php"
"shimakankohotel","志摩観光ホテル ザ ベイスイート","サウナ・温浴施設","HP: http://www.miyakohotels.ne.jp/shima/"
